,probing dataset,linguistic subfield,linguistic phenomena,probe type,train portion,probe,EleutherAI/pythia-1b,EleutherAI/pythia-1b-deduped,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b-deduped,EleutherAI/pythia-12b,EleutherAI/pythia-12b-deduped,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b-deduped,EleutherAI/pythia-410m,EleutherAI/pythia-410m-deduped,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b-deduped,albert-base-v2,bert-base-uncased,google/electra-base-discriminator,google/t5-xxl-lm-adapt,gpt2,facebook/bart-base,meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-hf,microsoft/deberta-base,microsoft/deberta-v3-base,roberta-base,EleutherAI/pythia-160m,EleutherAI/pythia-160m-deduped,EleutherAI/pythia-70m,EleutherAI/pythia-70m-deduped,google/flan-t5-xxl,google/flan-t5-large,google/flan-t5-xl,google/flan-t5-base,google/flan-t5-small,google/flan-ul2,google/t5-small-lm-adapt,google/t5-base-lm-adapt,google/t5-large-lm-adapt,google/t5-xl-lm-adapt,google/ul2,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,allenai/tulu-2-dpo-13b,allenai/tulu-2-13b,allenai/tulu-2-70b,allenai/tulu-2-dpo-70b,microsoft/Orca-2-13b,lmsys/vicuna-13b-v1.5,mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai/Mixtral-8x7B-v0.1,databricks/dolly-v2-12b,WizardLM/WizardLM-13B-V1.2,ibm/merlinite-7b,ibm/labradorite-13b,allenai/tk-instruct-11b-def,sentence-transformers/average_word_embeddings_glove.840B.300d,sentence-transformers/average_word_embeddings_glove.6B.300d
0,SemAntoNeg,reasoning,negation,sentence pair classification,0.001953125,SemAntoNeg,0.41888144,0.408369917,0.435315669,0.442726803,0.416820049,0.406680131,0.451751643,0.442515343,0.438319635,0.423736334,0.404291093,0.438915896,0.451008499,0.452038014,0.419683808,0.44471814,0.413485187,0.474896157,0.410691077,0.414347357,0.441289252,0.447009993,0.443215841,0.400000006,0.400000006,0.342189801,0.400000006,0.46264047,0.455018544,0.469381815,0.481914246,0.474023598,0.469450915,0.463952136,0.440495592,0.434351367,0.486962694,0.439403427,0.447743905,0.443746442,0.426669264,0.440406328,0.413805324,0.433718532,0.434003353,0.435057682,0.427027977,0.422889966,0.44717167,0.444772959,0.431906128,0.397140306,0.436657113,0.422245254,0.45656361,0.419698638,0.478874391,0.501786518,0.508633739
1,arg-is-abstract,semantics,genericity,token(s) classification,0.001953125,arg-is-abstract,0.030678526,0.051926889,0.035114142,0.029614141,0.086898294,0.048079996,0.021996097,0.082791138,0.005572662,0.034771516,0.087898237,0.034679276,0.064961754,0.04542097,0.046016198,0.02652268,-0.016869378,0.028521729,0.076383508,0.047288941,0.01054088,0.031537224,0.045716173,2.91E-05,0.035322638,-0.045271995,-0.053663653,0.045981723,-0.019892038,0.024762567,0.082511289,0.069141591,0.084412928,0.010692752,0.033189346,-0.003676955,0.011480101,0.000611424,0.069444774,0.101283775,0.074995905,0.089957389,-0.000903538,0.003407339,0.002405004,0.017132544,0.069200129,0.039125273,0.015915124,0.00193526,0.011936233,0.00039875,0.032584538,0.081412403,0.023116023,0.068388552,0.010407031,0.035758826,0.036553149
2,arg-is-kind,semantics,genericity,token(s) classification,0.001953125,arg-is-kind,0.032093514,0.060440597,0.028119766,0.055644958,0.072342459,0.042243093,0.038910035,0.027972744,0.008071385,0.015779039,0.065823523,0.074896393,0.093639151,0.052161619,0.027673258,0.033082992,0.106349817,0.068553287,0.053531689,0.031977743,0.050499708,0.095057368,-0.000298316,0.001112442,0.039710203,0.005421219,0.014518908,0.019297695,-0.004392258,0.002359013,0.012625286,0.00537834,0.008519634,-0.028809996,0.017516532,0.050469231,0.020049374,0.042617214,0.065373529,0.044405696,0.042935048,0.071646777,0.031711874,0.029055713,0.033229846,0.026158775,0.030866078,0.046636546,0.041232321,0.025249847,0.042809435,0.01248846,0.027689588,0.055218127,0.015929025,0.025827803,0.04544981,0.045362186,0.013529326
3,arg-is-particular,semantics,genericity,token(s) classification,0.001953125,arg-is-particular,0.03981438,0.040141405,0.078934032,0.074632795,0.065512931,0.081610201,0.042311958,0.095013997,0.057985408,0.032059035,0.113002175,0.067670065,0.079372977,0.072434433,0.223197129,0.106760884,0.061404419,0.031621026,0.05373543,0.058322787,0.086284148,0.049211174,0.070424994,-0.023354271,0.005366854,0.053963939,0.080252577,0.084514882,0.020638159,0.086635149,0.043980258,0.023271078,0.060567262,0.022090484,0.054530825,0.039655437,0.073630831,0.066179635,0.037236259,0.103882047,0.063785987,0.13784513,0.0389597,0.028688982,0.035886922,0.05140768,0.04628344,0.06781974,0.029185266,0.003596561,0.029593487,0.026836188,0.041159311,0.105055708,0.015899648,0.109535994,0.086277572,0.032182254,-0.008347079
5,bioscope-negation-span-classify,reasoning,negation,token(s) classification,0.001953125,bioscope-negation-span-classify,0.631347924,0.671940303,0.606591702,0.580726588,0.722461224,0.681866872,0.655676877,0.70751611,0.491052485,0.556094605,0.601020163,0.681634283,0.670187575,0.474437231,0.592357022,0.537752765,0.444477922,0.607463264,0.807308304,0.785094464,0.737464857,0.48751961,0.636489312,0.391049838,0.405216545,0.376049602,0.385234785,0.563750732,0.505989504,0.535460919,0.553965455,0.516988873,0.634882379,0.505346519,0.439812177,0.511309153,0.411488903,0.538283211,0.765165281,0.552376699,0.787173474,0.755335271,0.487957412,0.542474747,0.534084731,0.563368595,0.788502479,0.654441601,0.471773362,0.515904832,0.446506256,0.447841108,0.678588593,0.740768003,0.469754303,0.728111863,0.434579289,0.759114075,0.719437718
6,bioscope-negation-span-correspondence,reasoning,negation,token(s) pair classification,0.001953125,bioscope-negation-span-correspondence,0.528953385,0.508993363,0.504009473,0.512653691,0.493753976,0.520277393,0.508651996,0.507245404,0.485467565,0.504268628,0.524649394,0.514111692,0.506543899,0.492046106,0.533115995,0.491719353,0.439099383,0.513912249,0.531730485,0.540901411,0.509456366,0.496315724,0.481971145,0.337219268,0.339668691,0.338121134,0.412853974,0.507482511,0.520002407,0.485389847,0.5368559,0.555191159,0.496451986,0.521339667,0.51445117,0.495446616,0.48693769,0.50238148,0.534140289,0.533724046,0.515347052,0.513922471,0.529018569,0.535047555,0.562303603,0.552073145,0.531026983,0.541791224,0.518574429,0.520621932,0.499739665,0.410824537,0.542745459,0.529412727,0.515860903,0.543193746,0.483714861,0.497877318,0.494411546
7,bioscope-org-negation,reasoning,negation,sentence classification,0.001953125,bioscope-org-negation,0.522601724,0.53511374,0.4967314,0.541404599,0.531652319,0.540191925,0.525975204,0.503598958,0.487064636,0.487258291,0.579103184,0.569328988,0.466806656,0.466773856,0.54300766,0.454741907,0.397542918,0.481791711,0.566720796,0.563297892,0.435215682,0.424405545,0.437069166,0.434552896,0.442503285,0.381331289,0.38113966,0.506642997,0.496308804,0.486451674,0.496491063,0.469929302,0.504501355,0.506995398,0.504780155,0.488862598,0.454040015,0.448396611,0.5833709,0.552318281,0.573055947,0.569539261,0.553367674,0.538200057,0.581232107,0.584716117,0.584774876,0.563518173,0.533309929,0.563915956,0.428151304,0.418483022,0.536987436,0.536703014,0.504666775,0.583059692,0.468010771,0.488949192,0.489449346
8,blimp-adjunct_island,syntax,island effects,sentence classification,0.001953125,blimp-adjunct_island,0.48752988,0.450742424,0.488315701,0.508410501,0.526028496,0.512443376,0.476241797,0.534393132,0.400250977,0.420148951,0.459418392,0.555053556,0.618753165,0.448276311,0.861604607,0.740116286,0.333333343,0.497741336,0.514641434,0.486344057,0.575999856,0.422667193,0.445043445,0.333333343,0.336778885,0.35191623,0.399933469,0.686830521,0.539441276,0.614986968,0.531258017,0.466437048,0.510188061,0.519967961,0.520782691,0.599017501,0.583271378,0.624992573,0.488173789,0.550647163,0.567854106,0.512281257,0.492453538,0.566949522,0.516261196,0.492457175,0.441530722,0.44927088,0.45593673,0.474935853,0.40988034,0.35938611,0.534356534,0.411795247,0.450533909,0.470165527,0.815799594,0.454830396,0.483300912
9,blimp-anaphor_gender_agreement,morphology,anaphor agreement,sentence classification,0.001953125,blimp-anaphor_gender_agreement,0.494194043,0.419701898,0.436623859,0.475230068,0.514200908,0.490529871,0.46458376,0.483641255,0.450067794,0.479806292,0.510562253,0.411156273,0.572577274,0.589960027,0.898991919,0.502952933,0.363738525,0.54150151,0.593269658,0.515144402,0.639928412,0.779882157,0.39639833,0.333333343,0.377643561,0.337779623,0.392005336,0.638736963,0.606045794,0.605087054,0.511404151,0.522369128,0.875567806,0.517180365,0.532436031,0.435362309,0.584407389,0.605096623,0.529083163,0.542974401,0.52671572,0.533199251,0.598044825,0.534678745,0.478998089,0.477142048,0.591665781,0.534486067,0.50142926,0.443844289,0.463559622,0.376095432,0.498254055,0.476572877,0.470043045,0.485627502,0.864269662,0.563984025,0.490831864
10,blimp-anaphor_number_agreement,morphology,anaphor agreement,sentence classification,0.001953125,blimp-anaphor_number_agreement,0.452827209,0.437380916,0.477801371,0.409486729,0.524949425,0.548618186,0.503384006,0.476992917,0.42439844,0.464591748,0.46861403,0.492081827,0.599829948,0.466204745,0.694215953,0.712896931,0.433162856,0.480569983,0.600657821,0.633385217,0.603698224,0.811655819,0.510136753,0.378899324,0.34796769,0.338567799,0.371855712,0.775310779,0.569899213,0.730196571,0.507035995,0.44498862,0.744178724,0.472793275,0.500606382,0.603676689,0.710559452,0.777197731,0.620236492,0.607455778,0.57104336,0.576060855,0.63778196,0.637872833,0.634349036,0.646137166,0.59118799,0.660368598,0.505071652,0.414584279,0.435005438,0.375546491,0.550243527,0.47944364,0.44637121,0.627450836,0.83692348,0.494041634,0.482688344
