,probing dataset,linguistic subfield,linguistic phenomena,probe type,train portion,probe,EleutherAI/pythia-1b,EleutherAI/pythia-1b-deduped,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b-deduped,EleutherAI/pythia-12b,EleutherAI/pythia-12b-deduped,EleutherAI/pythia-160m,EleutherAI/pythia-160m-deduped,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b-deduped,EleutherAI/pythia-410m,EleutherAI/pythia-410m-deduped,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b-deduped,EleutherAI/pythia-70m,EleutherAI/pythia-70m-deduped,albert-base-v2,bert-base-uncased,google/electra-base-discriminator,google/flan-t5-xxl,google/flan-t5-large,google/flan-t5-xl,google/flan-t5-base,google/flan-t5-small,google/flan-ul2,google/t5-small-lm-adapt,google/t5-base-lm-adapt,google/t5-large-lm-adapt,google/t5-xl-lm-adapt,google/t5-xxl-lm-adapt,google/ul2,gpt2,facebook/bart-base,meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-hf,microsoft/deberta-base,microsoft/deberta-v3-base,roberta-base,allenai/tulu-2-dpo-13b,allenai/tulu-2-13b,allenai/tulu-2-70b,allenai/tulu-2-dpo-70b,microsoft/Orca-2-13b,lmsys/vicuna-13b-v1.5,mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,databricks/dolly-v2-12b,WizardLM/WizardLM-13B-V1.2,ibm/merlinite-7b,ibm/labradorite-13b,allenai/tk-instruct-11b-def,sentence-transformers/average_word_embeddings_glove.840B.300d,sentence-transformers/average_word_embeddings_glove.6B.300d
174,SemAntoNeg,reasoning,negation,sentence pair classification,1,SemAntoNeg,0.400594282,0.400000006,0.400000006,0.426607203,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.370000005,0.370000005,0.588758075,0.6490242,0.536693394,0.698442745,0.400000006,0.690672684,0.66713475,0.400000006,0.699070406,0.400000006,0.400000006,0.400000006,0.400000006,0.685276198,0.670555878,0.40050543,0.593845928,0.400000006,0.400000006,0.400000006,0.415219015,0.400000006,0.400000006,0.559019852,0.581056917,0.400000006,0.399913919,0.400000006,0.400000006,0.400000006,0.404472059,0.400000006,0.400594282,0.400000006,0.400000006,0.419488107,0.400000006,0.400000006,0.606494957,0.408785033,0.506219494
84,arg-is-abstract,semantics,genericity,token(s) classification,1,arg-is-abstract,0.114178015,0.252848974,0.191467707,0.129254603,0.161583039,0.13223722,0.246183047,0.246242034,0.121605459,0.250704437,0.152870788,0.314348918,0.109551667,0.122742873,0.214574301,0.183035189,0.380873382,0.423975486,0.443992603,0.447683352,0.498864162,0.465406024,0.505829859,0.497104579,0.449259228,0.509887111,0.508283579,0.492128938,0.487730724,0.419458729,0.456484371,0.379040793,0.20022282,0.13316025,0.19484717,0.109525248,0.132335046,0.140721662,0.216321862,0.439945245,0.300546557,0.518047178,0.01775433,0.048951951,0.020929546,0.042063136,0.161423883,0.117657599,0.040795956,0.014874221,0.087419509,0.213008369,0.025315217,0.10195632,0.482556182,0.358062106,0.357449186
140,arg-is-kind,semantics,genericity,token(s) classification,1,arg-is-kind,0.16089621,0.212907279,0.157931192,0.118214839,0.153948165,0.150837348,0.208872062,0.240742096,0.130014332,0.129304985,0.176026277,0.166612013,0.092093948,0.147436899,0.238278237,0.172382841,0.283784553,0.349682343,0.430548084,0.328955483,0.430569524,0.373514366,0.429544091,0.424652392,0.353416866,0.423998189,0.432510579,0.425365126,0.39860816,0.369817644,0.336805242,0.316900522,0.173728094,0.118421991,0.148129535,0.059662951,0.125444737,0.154304509,0.134616455,0.368481916,0.292277876,0.415982193,0.039492831,0.031023821,0.030894258,0.056228121,0.118635824,0.170173007,0.018694058,0.030711468,0.059365935,0.142369861,0.02571238,0.103598547,0.421691543,0.307109326,0.304479235
76,arg-is-particular,semantics,genericity,token(s) classification,1,arg-is-particular,0.215646437,0.17282815,0.307146662,0.293872006,0.235629402,0.179953444,0.388215625,0.341151538,0.23173953,0.349615476,0.264433876,0.318886366,0.282689771,0.171449621,0.323474586,0.300235572,0.391209602,0.437921959,0.529729003,0.45929237,0.547415781,0.527166402,0.55362823,0.558735347,0.497178918,0.553605628,0.558252609,0.551488066,0.531668001,0.476995802,0.448468947,0.450625843,0.403845459,0.169315577,0.232883686,0.113898152,0.187165454,0.181633921,0.24672308,0.373071754,0.449283987,0.544741094,0.046087532,0.06884826,0.062110115,0.0332944,0.218176751,0.225798857,0.049504627,0.012005376,0.096735613,0.166514519,0.046318395,0.240355423,0.529241246,0.382944798,0.385947508
134,bioscope-negation-span-classify,reasoning,negation,token(s) classification,1,bioscope-negation-span-classify,0.982153818,0.983443117,0.983728147,0.982292926,0.982010484,0.979731464,0.812794787,0.812467736,0.982579422,0.985152352,0.983153749,0.981438601,0.983441973,0.985720944,0.412223256,0.331935292,0.987433457,0.984860992,0.985431111,0.981433272,0.984289706,0.98500441,0.987146139,0.982575071,0.985434318,0.984856963,0.982863188,0.979720783,0.979154968,0.982004559,0.988575459,0.98286854,0.983150935,0.987150097,0.985152829,0.983725619,0.983724904,0.981725264,0.985438895,0.990288329,0.985148787,0.985719323,0.69524976,0.708882391,0.712738669,0.704605603,0.985152543,0.987435424,0.60207504,0.652187848,0.982300961,0.987155175,0.68005408,0.983154976,0.988002372,0.871354318,0.964768565
139,bioscope-negation-span-correspondence,reasoning,negation,token(s) pair classification,1,bioscope-negation-span-correspondence,0.805970395,0.7999506,0.815482712,0.779551136,0.805074716,0.802620113,0.332107043,0.33445617,0.814624643,0.80349319,0.792863619,0.799968314,0.809997773,0.806791544,0.332107043,0.332107043,0.857772899,0.828892767,0.83217541,0.819071555,0.811585915,0.825289977,0.806209302,0.806374168,0.808905745,0.799221981,0.799276364,0.797751367,0.784339845,0.797205102,0.782540691,0.820174408,0.8344715,0.757483363,0.751386416,0.749377048,0.772150731,0.744379795,0.806198323,0.861614835,0.843758905,0.81842134,0.568737507,0.555494368,0.586682105,0.583855927,0.760601461,0.748074877,0.60997107,0.59450767,0.762789929,0.75444595,0.586491525,0.764334726,0.812871909,0.569281745,0.523042536
129,bioscope-org-negation,reasoning,negation,sentence classification,1,bioscope-org-negation,0.894644761,0.897183907,0.887107122,0.891901565,0.917202032,0.911798394,0.424885571,0.424885571,0.901964068,0.900219846,0.872994065,0.592696834,0.905873156,0.904314351,0.424885571,0.424885571,0.870094061,0.83989296,0.846172261,0.873989534,0.79998616,0.852586079,0.836344862,0.808805966,0.872563863,0.700435627,0.793600333,0.71129657,0.806946456,0.851966548,0.855780804,0.775645816,0.90282073,0.900322282,0.910648263,0.913864076,0.912155128,0.897509956,0.798698223,0.898708951,0.875580382,0.866477859,0.912342161,0.911966527,0.913129914,0.909627724,0.905722868,0.914676774,0.783336759,0.704912114,0.90353421,0.90826633,0.88708266,0.905071068,0.789697158,0.428409731,0.424885571
57,blimp-adjunct_island,syntax,island effects,sentence classification,1,blimp-adjunct_island,0.959984505,0.959991145,0.956475627,0.950987482,0.972987676,0.971992958,0.333333343,0.339563102,0.946932232,0.947928548,0.895459127,0.868059969,0.972996759,0.967495,0.333333343,0.333333343,0.967990148,0.900401902,0.959975004,0.983997679,0.94248364,0.961495745,0.937999177,0.860098886,0.980998302,0.881985044,0.9109905,0.865955901,0.934982848,0.974997282,0.941469944,0.888980544,0.959491336,0.970998907,0.95649569,0.97749784,0.96349678,0.940946639,0.94648596,0.962485623,0.949999058,0.934374914,0.973120496,0.966981173,0.969997644,0.966996562,0.970493317,0.963983023,0.979370952,0.944993126,0.961497653,0.938462603,0.951492202,0.955488431,0.961495256,0.497496128,0.497884512
61,blimp-anaphor_gender_agreement,morphology,anaphor agreement,sentence classification,1,blimp-anaphor_gender_agreement,0.834497225,0.849312901,0.553538013,0.823076057,0.876735115,0.896996176,0.333333343,0.334211957,0.851438665,0.850126481,0.767512608,0.743292046,0.883231759,0.540547395,0.333333343,0.333333343,0.895447361,0.955973971,0.9649593,0.976994514,0.920981979,0.939825225,0.822530961,0.646245122,0.967475414,0.681821144,0.792449594,0.856414902,0.913655639,0.972990155,0.922792517,0.727986407,0.944481623,0.945461011,0.926276445,0.946970499,0.9268893,0.873320103,0.843106484,0.934417868,0.982495117,0.863982642,0.945933676,0.944443905,0.918384182,0.931472135,0.939963162,0.944385266,0.962497056,0.935433114,0.905466783,0.784129608,0.733750343,0.875681376,0.961989546,0.897467661,0.496577179
59,blimp-anaphor_number_agreement,morphology,anaphor agreement,sentence classification,1,blimp-anaphor_number_agreement,0.869380152,0.877797031,0.862201858,0.849428618,0.960997915,0.95296427,0.333333343,0.333333343,0.908478868,0.917959452,0.8024454,0.718939173,0.929486942,0.948987436,0.333333343,0.333333343,0.986999166,0.96698941,0.999499989,0.982494354,0.948968172,0.991499329,0.949989891,0.745799017,0.988499427,0.785978234,0.943903518,0.925907397,0.966493809,0.985000014,0.944993234,0.819101143,0.991499949,0.964992428,0.96399709,0.955975187,0.960495591,0.91945163,0.915438211,0.988999104,0.994499993,0.974165559,0.956996584,0.960496879,0.971493757,0.968495548,0.978999877,0.973998654,0.962491047,0.954492652,0.966495073,0.743219042,0.714773059,0.945485079,0.972988224,0.800031638,0.498747587
